Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0402_1005Metric",151.130000,-85.750000,90.000000,top
"C2","24pF","C_0402_1005Metric",142.948000,-92.010000,0.000000,top
"C3","24pF","C_0402_1005Metric",142.948000,-100.520000,180.000000,top
"C4","100nF","C_0402_1005Metric",151.130000,-89.460000,90.000000,top
"C5","100nF","C_0402_1005Metric",151.110000,-93.300000,90.000000,top
"C6","100nF","C_0402_1005Metric",151.130000,-99.490000,270.000000,top
"C7","100nF","C_0402_1005Metric",157.410000,-105.560000,180.000000,top
"C8","1uF","C_0402_1005Metric",152.150000,-103.670000,270.000000,top
"C9","100nF","C_0402_1005Metric",164.400000,-105.550000,180.000000,top
"C10","100nF","C_0402_1005Metric",151.030000,-103.670000,270.000000,top
"C11","100nF","C_0402_1005Metric",171.710000,-105.560000,180.000000,top
"C12","100nF","C_0402_1005Metric",176.770000,-98.270000,90.000000,top
"C13","100nF","C_0402_1005Metric",176.770000,-92.760000,270.000000,top
"C14","100nF","C_0402_1005Metric",176.770000,-85.050000,270.000000,top
"C15","100nF","C_0402_1005Metric",167.960000,-79.900000,0.000000,top
"C16","100nF","C_0402_1005Metric",162.940000,-79.910000,0.000000,top
"C17","100nF","C_0402_1005Metric",162.140000,-122.230000,270.000000,top
"C18","100nF","C_0402_1005Metric",155.730000,-78.730000,0.000000,top
"C19","4.7uF","C_0402_1005Metric",148.890000,-85.770000,90.000000,top
"C20","4.7uF","C_0402_1005Metric",174.540000,-103.870000,0.000000,top
"C21","10uF","C_0805_2012Metric",163.040000,-55.010000,180.000000,top
"C22","10uF","C_0805_2012Metric",158.600000,-54.900000,180.000000,top
"C23","2.2uF","C_0402_1005Metric",169.300000,-105.540000,180.000000,top
"C24","10uF","C_0402_1005Metric",143.100000,-88.430000,90.000000,top
"C25","100nF","C_0402_1005Metric",150.010000,-85.770000,90.000000,top
"C26","2.2uF","C_0402_1005Metric",177.230000,-86.580000,0.000000,top
"C27","220pF","C_0402_1005Metric",146.570000,-88.400000,270.000000,top
"C28","4.7uF","C_0402_1005Metric",144.350000,-88.470000,90.000000,top
"FB1","Ferrite_Bead_Small","L_0805_2012Metric",149.430000,-103.200000,270.000000,top
"FB2","Ferrite_Bead_Small","L_0805_2012Metric",163.137500,-57.060000,0.000000,top
"L1","2.2uH","L_0805_2012Metric",148.150000,-89.277500,90.000000,top
"R1","0","R_0402_1005Metric",150.640000,-96.720000,180.000000,top
"R2","10k","R_0402_1005Metric",155.730000,-79.900000,180.000000,top
"R3","47","R_0402_1005Metric",151.080000,-101.600000,270.000000,top
"SW2","K12SCS1.55NOLFTX","K12SCS1.55NOLFTX",155.375002,-122.140000,90.000000,top
"U1","STM32H755ZIT6","STM32H755ZIT6",163.940000,-92.730000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",159.870000,-49.180000,90.000000,top
"Y1","Crystal_GND24_Small","OSC_ABM3B-8.000MHZ-B2-T",142.728000,-96.250000,0.000000,top
